"Area name","Area code","Area type","Reporting date","Daily hospital deaths","Cumulative hospital deaths"
"Northern Ireland","N92000002","Country","2020-04-18",18,176
"Scotland","S92000003","Country","2020-04-18",58,837
"Scotland","S92000003","Country","2020-04-19",56,893
"United Kingdom","K02000001","Country - UK","2020-04-19",596,16060
"England","E92000001","Country","2020-04-19",482,14399
"Northern Ireland","N92000002","Country","2020-04-19",17,193
"Wales","W92000004","Country","2020-04-19",41,575
"United Kingdom","K02000001","Country - UK","2020-04-20",449,16509
"England","E92000001","Country","2020-04-20",429,14828
"Northern Ireland","N92000002","Country","2020-04-20",1,194
"Wales","W92000004","Country","2020-04-20",9,584
"Scotland","S92000003","Country","2020-04-20",10,903
